account,name,link,keywords
@ShirRaviv@mastodon.social,Shir Raviv,https://mastodon.social/@ShirRaviv,Public opinion; experimental methods; AI governance; algorithmic decision making
@TobiasLemke@mastodon.sdf.org,Tobias Lemke,https://mastodon.sdf.org/@TobiasLemke,International relations; nationalism; security; digital politics
@landwehr_c@fediscience.org,Claudia Landwehr,https://fediscience.org/@landwehr_c,political theory; deliberative democracy; political culture
@jtrudeau@sciences.social,Jessie Trudeau,https://sciences.social/@JTrudeau,Political economy of development; organized crime; violence; policing; Latin America
@emeka@mtdn.party,Emeka Njoku,https://mstdn.party/@emeka,International security; Conflict; Development; Civil society; Terrorism; Peacebuilding
@jsajuria@mastodon.online,Javier Sajuria,HTTPS://mastodon.online/@jsajuria,Comparative Political Behaviour
@fleischer_julia@sciences.social,Julia Fleischer,https://sciences.social/@fleischer_julia,Politics and governance; Bureaucracy; State capacity
@christinapwalker@mindly.social,Christina Walker,https://mindly.social/@christinapwalker,Institutions; misinformation; comparative; polarization; big data
@BetinaWilkinson@mastodon.social.com,Betina Wilkinson,https://mastodon.social/@BetinaWilkinson,Racial and ethnic politics; public opinion; public policy; political behavior
@GeorgeShields@mastodon.social,George Shields,https://mastodon.social/@GeorgeShields,Local government; public administration; public policy; comparative constitutionalism; IR
@JoseMarichal@mastodon.social,Jose Marichal,https://mastodon.social/@JoseMarichal,technology and politics; public policy; multicultural theory
@bjoern_bremer@fediscience.org,Björn Bremer,https://fediscience.org/@bjoern_bremer,Political economy; comparative politics; political parties; public opinion
@jr@fediscience.org,Jonathan Rinne,https://fediscience.org/@jr,democratic systems theory; representation; political inequality; democratic innovations
@r_dassonneville@mastodon.online,Ruth Dassonneville,https://mastodon.online/@r_dassonneville,Elections; Voting behaviour; Political Parties
@dadakim@mastodon.social,Kim Yi Dionne,https://mastodon.social/@dadakim,Comparative Politics; African Politics; health
@nrrtv@mastodon.social,Sebastian Jarzebski,https://mastodon.social/@nrrtv,political communication; political narratives; political sociology; cultural sociology
@verenakunz@sciences.social,Verena Kunz,https://sciences.social/@verenakunz,legislative politics; European Parliament; text analysis; computational social science
@chartock@sciences.social,Sarah Chartock,https://sciences.social/@chartock,Latin Americanist; Social Movements; Ethnic Politics; Social Policy
@ProfJHGross@mastodon.social,Justin H. Gross,https://mastodon.social/@ProfJHGross,Ideologies (popular political thought); communication; psychology; Latino politics; stats
@MeganGoldberg@mastodon.social,Megan Goldberg,https://mastodon.social/@MeganGoldberg,American politics; state and local politics; federalism; political communication
@leesplez@fediscience.org,Jeff Lees,https://fediscience.org/@leesplez,political psychology; polarization; ideology; misperceptions
@mqpellicer@hessen.social,Miquel Pellicer,https://hessen.social/@mqpellicer,Political behavior; inequality; comparative politics; political economy; causal inference
@evawegner@hessen.social,Eva Wegner,https://hessen.social/@evawegner,comparative politics; developing countries; political behavior
@Prof_BeckyBT@mastodon.social,Rebecca Bromley-Trujillo,https://mastodon.social/@Prof_BeckyBT,Climate change policy; political behavior; state politics and policy; US environmental
@ChloeThurston@mastodon.social,Chloe Thurston,https://mastodon.social/@ChloeThurston,American political development; public policy; political economy
@janzilinsky@econtwitter.net,Jan Zilinsky,https://econtwitter.net/@janzilinsky,public opinion; voting behavior; text as data; media and campaigns
@Nataraja@mastodon.social,Tamara Espiñeira,https://mastodon.social/@Nataraja,International relations; dependency; failed democracies; Latin America; EU
@Paasha@mstdn.social,Paasha Mahdavi,https://mstdn.social/@Paasha,Environmental politics; climate; energy; comparative politics; political economy
@elizabethmelder@sfba.social,Elizabeth Mitchell Elder,https://sfba.social/@elizabethmelder,American politics; political psychology; political economy
@auragonzalez@sciences.social,Aura Gonzalez,https://sciences.social/@auragonzalez,migration; identity; climate change; development; India; South Asia
@dyzenhaus@sciences.social,Alex Dyzenhaus,https://sciences.social/@dyzenhaus,Comparative Politics; Land Reform; South Africa
@bhumi@sciences.social,Bhumi Purohit,https://sciences.social/@bhumi,Identity Politics; Bureaucracy; Gender; South Asia
@Nikolina_klatt@fediscience.org,Nikolina Klatt,https://fediscience.org/@Nikolina_klatt,public policy; democracy; gender; women's rights; reproductive rights; demography
@MariusSwane@mastodon.social,Marius Swane Wishman,https://mastodon.social/@MariusSwane,Comparative politics; conflict; civil conflict; communal violence; historical legacies
@cerifowler@mastodon.social,Ceri Fowler,https://mastodon.social/@cerifowler,Comparative Poltics; Gender; Elections; Public Opinion
@ellahstella@mstdn.social,Ellen Ehmke,https://mstdn.social/@ellahstella,Inequality; Socio-Ecological Transformation; Social Protection; Eco-Social Policies
@TabithaLamberth@mindly.social,Tabitha Lamberth,https://mindly.social/@TabithaLamberth,Political Psychology; Political Behavior
@pressman@mastodon.nz,Jeremy Pressman,https://mastodon.nz/@pressman,int'l relations; Israel-Palestine; protests in United States; Crowd Counting Consortium
@giovannicapoccia@mastodon.iridesen.eu,Giovanni Capoccia,https://mastodon.iriseden.eu/@giovannicapoccia,Democracy and political extremism; institutions; democratic backsliding
@rainbowmurray@mastodon.org.uk,Rainbow Murray,https://mastodon.org.uk/@rainbowmurray,Representation; gender; France; UK; elections; parliaments
@deglassco@mastodon.social,D. Elisabeth Glassco,https://mastodon.social/@Deglassco,Political Behavior and Culture; Presidential Politics; Black Political Leadership
@JamesMMcQuiston@mas.to,James McQuiston,https://mas.to/@JamesMMcQuiston,lgbt politics; public administration pedagogy; presidential communication; us politics
@srmeinke@mastodon.social,Scott Meinke,https://mastodon.social/@srmeinke,American politics; Congress; elections
@prelabutexas@sciences.social,Politics of Race and Ethnicity Lab - UT Austin,https://sciences.social/@prelabutexas,Race and ethnic politics; American/Comparative politics; Texas
@rfrbrghs@mastodon.online,Rahel Freiburghaus,https://mastodon.online/@rfrbrghs,Political Institutions; Comparative Politics; Federalism; Intergovernmental Lobbying
@laurauribe@sciences.social,Laura Uribe,https://sciences.social/@laurauribe,Hispanic identity politics; political behavior
@truback@mastodon.sdf.org,Tim Ruback,https://mastodon.sdf.org/@truback,critical IR; historical IR; pedagogy; Thucydides
@mjacob@mastodon.online,Marc S. Jacob,https://mastodon.online/@mjacob,Comparative Politics; Autocratization; Political Economy
@snsoroka@fediscience.org,Stuart Soroka,https://fediscience.org/@snsoroka,political communication; political behavior; political psychology
@eribertsou@mstdn.social,Eri Bertsou,https://mstdn.social/@eribertsou,Political behaviour; comparative politics; Europe; political trust; experts; technocracy
@OliverEscobar@mastodon.scot,Oliver Escobar,https://mastodon.scot/@OliverEscobar,Participation; democratic innovation; participatory & deliberative democracy; commons
@Christina_Boyes@mindly.social,Christina Boyes,https://mindly.social/@Christina_Boyes,IR; conflict; natural resources; environmental policy; rebel group strategy; inequality
@LachlanMcNamee@econtwitter.net,Lachlan McNamee,https://econtwitter.net/@LachlanMcNamee,Migration; conflict; settler colonialism; Asia-Pacific
@rebeldiletante@masto.pt,Rebeldiletante,https://masto.pt/@Rebeldiletante,Elections; electoral behavior; political economy;
@SteffenEckhard@c.im,Steffen Eckhard,https://c.im/@SteffenEckhard,Computational Text Analysis; International Organizations; Public Administration;
@billard@sciences.social,TJ Billard,https://sciences.social/@billard,Political communication; social movements; digital politics
@ulrikekrause@mastodon.online,Ulrike Krause,https://mastodon.online/@ulrikekrause,Violent conflict; Displacement; Gender; Post-Colonial; Knowledge Production
@Anne_MarieBrady@mastodon.nz,Professor Anne-Marie Brady,https://mastodon.nz/@Anne_MarieBrady,China; polar politics; Pacific politics; NZ foreign policy
@susannagarside@sciences.social,Susanna Garside,https://sciences.social/@susannagarside,Comparative Politics; Climate Politics; Environmental Politics; African Politics
@aditimalik@fediscience.org,Aditi Malik,https://fediscience.org/@aditimalik,Political violence; African politics; South Asian politics
@oonahathaway@mstdn.social,Oona Hathaway,https://mstdn.social/@oonahathaway,international relations; international law; foreign relations law; human rights
@silviacarenzi@sciences.social,Silvia Carenzi,https://sciences.social/@silviacarenzi,Militant Islamism; Syria; political violence; social movements; rebel governance; conflict
@Field@mastodon.ie,Luke Field,https://mastodon.ie/@Field,comparative politics; political psychology; elections; deliberation; emotion; abortion
@paolo@sciences.social,Paolo Velásquez,https://sciences.social/@paolo,education; political sociology; immigration; integration
@nils_weidmann@mastodon.online,Nils Weidmann,https://mastodon.online/@nils_weidmann,conflict; autocracy; ICT; methodology
@filippo_tronconi@mastodon.uno,Filippo Tronconi,https://mastodon.uno/@filippo_tronconi,Political parties; Italian politics; Comparative politics; Populism
@AlexSpal@mstdn.social,Aleksandra Spalińska,https://mstdn.social/@AlexSpal,IR theory; world order; non-state actors; polity formation; new medievalism
@josch@chaos.social,Joachim Scharloth,https://chaos.social/@josch,politial communication; language of populism; German far right; politics of hate speech
@joribreslawski@fediscience.org,Jori Breslawski,https://fediscience.org/@joribreslawski,Aid; Conflict; Migration
@maiahjaskoski@fediscience.org,Maiah Jaskoski,https://fediscience.org/@maiahjaskoski,environmental politics; Indigenous politics; security; Latin America; Comparative Politics
@LauraEEvans@mastodon.social,Laura Evans,https://mastodon.social/@LauraEEvans,American politics; federalism; Native politics; race and politics
@alexjabbour@mstdn.social,Alexandra Jabbour,https://mstdn.social/@alexjabbour,Political economy; comparative politics; political behavior; causal inference; housing
@LMorgenbesser@sciences.social,Lee Morgenbesser,https://sciences.social/@LMorgenbesser,Authoritarianism; democratization; dictators; elections; Southeast Asian politics
@robfahey@fediscience.org,Robert Fahey,https://fediscience.org/@robfahey,Populism & Polarisation; Conspiracy Beliefs; Social Media; Text & Network Analysis; Japan
@TinePaulsen@econtwitter.net,Tine Paulsen,https://econtwitter.net/@TinePaulsen,Electoral Systems; Historical Political Economy; Parties
@fulyafelicity@mastodon.social,Fulya Felicity Turkmen,https://mastodon.social/@fulyafelicity,Comparative politics; international relations; migration and citizenship
@AJosephOconnell@masthead.social,Anne Joseph O'Connell,https://masthead.social/@AJosephOconnell,American politics; bureaucracy; appointments; Administrative Law
@JADPhD@mstdn.social,Jay DeSart,https://mstdn.social/@JADPhD,political behavior; public opinion; elections; forecasting
@griselsr@mastodon.social,Grisel Salazar,https://mastodon.social/@griselsr,Media institutions; press and politics; anti-press violence
@tatianacoutto@sciences.social,TCoutto,https://sciences.social/@tatianacoutto,European Union; Political Communication; textual data analysis; media framing
@andrewalter@sciences.social,André Walter,https://sciences.social/@andrewalter,Comparative Politics
@marcidale@mastodon.social,Marci Harris,https://mastodon.social/@marcidale,congress; public policy; civic technology
@snitsova@mstdn.social,Silviya Nitsova,https://mstdn.social/@snitsova,Political economy; money in politics; oligarchs; Ukraine; Russia; Eurasia; networks
@meinungsfuehrer@mastodon.social,Simon Kruschinski,https://mastodon.social/@meinungsfuehrer,Campaigning; political communciation; political marketing; vote behavior
@deliazollinger@sciences.social,Delia Zollinger,https://sciences.social/@deliazollinger,political behavior; comparative politics; political sociology; political economy
@jenvictor@mastodon.social,Jennifer Victor,https://mastodon.social/@jenvictor,US politics; Congress; networks; political parties; campaign finance
@matanock@sciences.social,Aila Matanock,https://sciences.social/@matanock,international intervention; shared sovereignty; civil conflict; post-conflict elections
@PoliticalPhilo@zirk.us,Thomas Gregersen,https://zirk.us/@PoliticalPhilo,Political theory; deliberative democracy; public opinion; public administration
@matias93@scholar.social,Matías Eyzaguirre Miranda,https://scholar.social/@matias93,party systems; welfare state; political representation
@I_M_DRS@mastodon.social,David R. Smedley,https://mastodon.social/@I_M_DRS,Public administration
@scottwolford@mastodon.social,Scott Wolford,https://mastodon.social/@scottwolford,International relations; war; diplomacy; game theory
@jkatz@bayes.club,Jonathan N. Katz,https://bayes.club/@jkatz,methodology; formal theory; elections; institutions
@felixwiebrecht@c.im,Felix Wiebrecht,https://c.im/@felixwiebrecht,Authoritarianism; Legislative institutions; China
@Spe07@mstdn.social,Speranta Dumitru,https://mstdn.social/@Spe07,Migration; Passeport; Political Theory; Nudge
@halvardl@mastodon.social,Halvard Leira,https://mastodon.social/@halvardl,IR; diplomacy; foreign policy; Historical IR; concepts; privateers; empires
@jan_s@mastodon.social,Jan Schaller,https://mastodon.social/@jan_s,migration; border studies; (multi-level) governance; organizational sociology; elites
@benjaminschlegel@sciences.social,Benjamin E. Schlegel,https://sciences.social/@benjaminschlegel,political behaviour; methods; R GNU; statistics; Swiss politics; data driven journalism
@owenwintersgill@mastodon.social,David Owen,https://mastodon.social/@owenwintersgill,migration; citizenship. refugees; political theory
@omerorsun@c.im,Omer Orsun,https://c.im/@omerorsun,International Security
@tboeggild@mastodon.online,Troels Bøggild,http://mastodon.online/@tboeggild,Political behavior; political psychology; public opinion
@RMuriaas@mastodon.social,Ragnhild Muriaas,https:/ /mastodon.social/@RMuriaas,Prof in Political Science. University of Bergen. Gender and Political Representation.
@kimlanelaw@mastodon.online,Kim Lane Scheppele,http://mastodon.online/@kimlanelaw,comparative constitutional law; backsliding democracies; rule of law; Hungary; EU
@astoyan@fosstodon.org,Alissandra Stoyan,https://fosstodon.org/@astoyan,Latin American Politics; Comparative Political Institutions; Constitutions; Democracy
@matthewstenberg@sfba.social,Matthew Stenberg,https://sfba.social/@matthewstenberg,Democratic backsliding; local politics; EU; Central Europe; Comparative institutions
@nateclark@mastodon.social,Nate Clark,https://mastodon.social/@nateclark,Political communication; contemporary political theory; media studies; LGBTQ
@pmyteh@sciences.social,Tom Nicholls,https://sciences.social/@pmyteh,Computational text analysis; political communication; methods; news; data science
@mkrain@c.im,Matthew Krain,https://c.im/@mkrain,Human rights; political violence; advocacy messaging; active learning & pedagogy
@JLattmann@mas.to,Johannes Lattmann,https://mas.to/@JLattmann,Political Behavior; Political Economy; Quantitive Methods; Computational Social Sciences
@stefwalter__@fediscience.org,Stefanie Walter,https://fediscience.org/@stefwalter__,international relations; international political economy; IOs; EU; intl. negotiations
@leelum@mastodon.social,Dr Liam McLoughlin,https://mastodon.social/@leelum,Social Media; Political Communication; Content Moderation; Internet Politics; Tech Policy
@susherwood@mastodon.social,Simon Usherwood,https://mastodon.social/@susherwood,European Union; Brexit; Negotiation; Learning & Teaching
@jacksantucci@mastodon.online,Jack Santucci,https://mastodon.online/@jacksantucci,Electoral systems; political parties; American  political development
@phillegitimate@masthead.social,Philip Luke Johnson,https://masthead.social/@phillegitimate,crime; violence; conflict; security; communication; Latin America; qualitative methods
@tonyingesson@mastodon.nu,Tony Ingesson,https://mastodon.nu/@tonyingesson,intelligence; espionage; military decision-making
@GrantForks@toot.community,Brian Urlacher,https://toot.community/@GrantForks,International relations; conflict resolution; intelligence analysis
@nicklotito@sciences.social,Nick Lotito,https://sciences.social/@nicklotito,international relations; Middle East politics; civil-military relations; violent extremism
@aehyvonen@climatejustice.social,Ari-Elmeri Hyvönen,https://climatejustice.social/@aehyvonen,Political Theory; democracy; ecological politics; resilience
@egtewinkel@nerdculture.de,Evert te Winkel,https://nerdculture.de/@egtewinkel,Militant groups; pragmatism; political religion/ religious politics; shifting alliances
@__queli@mas.to,Kelly Bauer,https://mas.to/@__queli,Latin America; Chilean politics; migration; identity politics; development; human rights
@laurajacobs@mastodon.online,Laura Jacobs,https://mastodon.online/@laurajacobs,Political communication; elections; public opinion; populism
@BenjaminHelms@econtwitter.net,Benjamin Helms,https://econtwitter.net/@BenjaminHelms,International political economy
@ChrisPolPsych@mastodon.social,Christopher Federico,https://mastodon.social/@ChrisPolPsych,political psychology; political behavior; belief systems
@benfifield@econtwitter.net,Ben Fifield,https://econtwitter.net/@benfifield,American politics; voting; redistricting; methods
@kstrump@sciences.social,Kris-Stella Trump,https://sciences.social/@kstrump,Political behavior; Political psychology; Economic inequality
@kexic98@nerdculture.de,Kexin,https://nerdculture.de/@kexic98,Democracy; energy and environmental policy; inequality; market
@RMTownsend@mastodon.social,Rebecca M. Townsend,https://mastodon.social/@RMTownsend,Political comm; rhetoric; culture; deliberation; town meeting; public engagement; Poland
@tschmidtke@sciences.social,Tobias Schmidtke,https://mas.to/@tschmidtke,International Relations
@kathlsullivan@mastodon.social,Kathleen Sullivan,https://mastodon.social/@Kathlsullivan,American political development; constitutional law
@fhollenbach@fediscience.org,Florian M Hollenbach,https://fediscience.org/@fhollenbach,money in politics; corruption; taxation; comparative political economy; statistical method
@roizur@mastodon.online,Roi Zur,https://mastodon.online/@roizur,Institutions; Political Parties; Behavior
@DToshkov@mastodon.sdf.org,Dimiter Toshkov,https://mastodon.sdf.org/@DToshkov,European integration; migration; public opinion; public policy; research methods
@anewq@mastodon.social,Alice el-Wakil,https://mastodon.social/@anewq,political theory; democracy; referendums; democratic innovations; representation
@MikeHabegger@politicalscience.social,Michael W. Habegger,https://politicalscience.social/@MikeHabegger,International Relations; Social media; computational social science
@cadida@fediscience.org,Claire Adida,https://fediscience.org/@cadida,Migration and ethnic politics; Comparative Politics; Discrimination
@xinhan@mas.to,Xin Han,https: //mas.to/@xinhan,Political Economy of Development; Digital Politics; Collaborative Governance; Public Admin
@fionabradley@fediscience.org,Fiona Bradley,https://fediscience.org/@fionabradley,IR; advocacy networks; technology; information; platform governance
@chadlevinson@mastodon.online,Chad Levinson,https://mastadon.online/@chadlevinson,US presidency; national security politics; interest groups; think tanks; propaganda
@michelefenzl@mastodon.social,Michele Fenzl,https://mastodon.social/@michelefenzl#,Political economy; inequality; political behaviour; EU politics; comparative institutions
@andrewreeves@mastodon.social,Andrew Reeves,https://mastodon.social/@andrewreeves,Election; presidency; representation
@raphaelm@journa.host,Raphaël Martin-Melizi,https://journa.host/@raphaelm,Sociology; gender; digital; sexuality
@PopovaProf@russiaukraine.world,Maria Popova,https://russiaukraine.world/@PopovaProf,Comparative Politics; Democracy; Rule of Law; Corruption; Ukraine; Russia; Bulgaria; EU
@LPrather@econtwitter.net,Lauren Prather,https://econtwitter.net/@LPrather,international relations; public opinion; elections; migration; foreign aid
@svmiller@mastodon.social,Steven V. Miller,https://mastodon.social/@svmiller,International relations; conflict; public opinion; support for democracy/authoritarianism
@fhq@mas.to,Josh Putnam,https://mas.to/@fhq,American politics; campaigns and elections; presidential nominations; delegate selection
@astephenson@econtwitter.net,Alex Stephenson,https://econtwitter.net/@astephenson,formal theory; policing; race and ethnic politics
@DrAndrewFlores@mastadon.social,Andrew R. Flores,https://mastodon.social/@DrAndrewFlores,American political behavior; lgbtq politics
@chadrector@mastodon.online,Chad Rector,https://mastodon.online/@chadrector,International organization; East Asia
@michael_p_olson@mastodon.social,Michael Olson,https://mastodon.social/@michael_p_olson,Legislative institutions; voting rights; American state politics
@matthindman@mastodon.social,Matt Hindman,HTTPS://mastodon.social/@matthindman,Political communication; Internet politics; online political behavior;
@dov_levin@mastodon.online,Dov H. Levin,https://mastodon.online/@dov_levin,International Relations; Foreign election interference; covert ops; public diplomacy
@ashleygjovik@mstdn.social,Ashley M. Gjøvik,https://mstdn.social/@ashleygjovik,Human Rights; Transitional Justice; Sovereignty Disputes; Legal Accountability for MNCs
@Liamerivaki@mastodon.social,Lia Merivaki,https://mastodon.social/@Liamerivaki,Election science; political behavior; voter education
@BrittanyRLeach@mastodon.world,Brittany Leach,https://mastodon.world/@BrittanyRLeach,Political theory; feminist theory; reproductive freedom & justice; intersectionality; law
@james_p_allan@mstdn.social,James P. Allan,https://mstdn.social/@james_p_allan,Comparative politics; political economy
@ANosthoff@mastodon.social,Anna-Verena Nosthoff,https://mastodon.social/@ANosthoff,politics of technology; political targeting; political theory of digitization
@SibelOktay@mastodon.social,Sibel Oktay,https://mastodon.social/@sibeloktay,International Relations; Foreign Policy
@Clare_Rice_@mastodon.online,Clare Rice,Https://mastodon.online/@Clare_Rice_,Power-sharing; institutions; devolution; Northern Ireland; ethnic politics; constitutions
@pavlosvas1@sciences.social,Pavlos Vasilopoulos,https://sciences.social/@pavlosvas1,behavior; political psychology; elections; comparative politics
@wahlforscher@social.anoxinon.de,Andreas M. Wüst,https://social.anoxinon.de/@wahlforscher,elections; representation; immigration; integration; surveys
@rida@sciences.social,Rida Abu Rass,https://sciences.social/@rida,Social movements; comparative politics; nationalism; ethnicity and race.
@smotus@mastodon.social,Seth Masket,https://mastodon.social/@smotus,American political parties; party nominations; polarization; state politics
@jaakko@econtwitter.net,Jaakko Meriläinen,https://econtwitter.net/@jaakko,Political economy
@LizaMugge@akademienl.social,Liza Mügge,https://akademienl.social/@LizaMugge,Political Representation; intersectionality; gender; equality; transnationalism
@michaelflynn@fosstodon.org,Michael Flynn,https://fosstodon.org/@michaelflynn,International Relations; foreign policy; military deployments; statistics
@JasFitzpatrick@mas.to,Jasmin Fitzpatrick,https://mas.to/@JasFitzpatrick,Political Organization; Communication; Participation; internet & politics; digitalization
@NinaReiners@mas.to,Nina Reiners,https://mas.to/@NinaReiners,International Relations; human rights; United Nations; international law; experts
@guygrossman@mastodon.social,Guy Grossman,https://mastodon.social/@guygrossman,
@janlo@mastodon.social,Jan Lorenz,https://mastodon.social/@janlo,Opinion Dynamics; Polarization; Agent-based modeling
@jamesigoewalsh@mastodon.social,James Igoe Walsh,https://mastodon.social/@jamesigoewalsh,Conflict; displacement; social preferences
@gessler@fediscience.org,Theresa Gessler,https://fediscience.org/@gessler,democracy; immigration; parties; political behavior; text as data
@rdanielkelemen@eupolicy.social,R. Daniel Kelemen,https://eupolicy.social/@rdanielkelemen,European Politics; Comparative Politics; Law and Politics; European Union Politics
@sdpick@mas.to,Steve Pickering,https://mas.to/@sdpick,international relations; conflict; geospatial trust; covid; fish and chips; brexit
@darinself@sciences.social,Darin Self,https://sciences.social/@darinself,Comparative Democracy and Authoritarianism; party systems; civ-mil relations
@svencho@mastodon.social,Sven Chojnacki,http://mastodon.social/@svencho,peace research; conflict studies; migration; securitization; dual use
@RyanGrauer@mastodon.social,Ryan Grauer,https://mastodon.social/@RyanGrauerr,International security; military power; battlefield coalitions; civil-military relations
@conflictgeo@mastodon.social,Adam Moore,https://mastodon.social/@conflictgeo,Political Violence; U.S. Military; Peacebuilding; Geopolitics
@Prof_Mirya@mastodon.social,Mirya Holman,https://mastodon.social/@Prof_Mirya,Gender and politics; local politics
@kumar@sciences.social,Kumar Ramanathan,https://sciences.social/@kumar,American politics; race and ethnicity; law; public policy; American political development
@gngeorgarakis@mastodon.social,George Georgarakis,https://mastodon.social/@gngeorgarakis,Political behavior; political psychology; public opinion; communication; experiments
@tomsclark@mastodon.social,Tom Clark,https://mastodon.social/@tomsclark,judicial politics; policing
@KyleReedPhD@mastodon.social,Kyle Reed,https://mastodon.social/@KyleReedPhD,International relations; international law; human rights
@matzefrey@digitalcourage.social,Matthias Frey,https://digitalcourage.social/@matzefrey,Party Politics; Comparative Politics; Text Analysis; Parliamentary speeches
@elifcance@mastodon.online,Elifcan Celebi,https://mastodon.online/@elifcance,Political Economy; Gender; Democracy; Civil Society; Comparative Policy
@sierradavisthomander@sciences.social,Sierra Davis Thomander,https://sciences.social/@sierradavisthomander,Gender and politics; political behavior; survey methods
@markchand@mastodon.social,Mark C. Hand,https://mastodon.social/@Markchand,Workplace democracy; political campaigns; organizational theory;
@drjennings@mastodon.social,Will Jennings,https://mastodon.social/@drjennings,Political behaviour; public opinion; public policy; comparative and British politics
@sumitapahwa@mstdn.social,Sumita Pahw,https://mstdn.social/@sumitapahwa,Interpretive methods; Islamic activism; South Asia; Middle East; Social Movements
@maxchervaux@indieweb.social,Maxime Chervaux,https://indieweb.social/@maxchervaux,American Politics; Electoral Geography; Geopolitics; American Political Development
@dannagal@mastodon.social,Dannagal Young,https://mastodon.social/@dannagal,Political communication; misinformation; political psychology; media psychology
@GalenStocking@mastodon.social,Galen Stocking,https://mastodon.social/@GalenStocking,Political Communication; US Politics; Political Representation
@martinottmann@fediscience.org,Martin Ottmann,https://fediscience.org/@martinottmann,civil war; peace processes; post-conflict development
@twasmegan@mastodon.social,Megan Gallagher,https://mastodon.social/@twasmegan,political theory; history of political thought; feminist theory
@mirandayaver@mastodon.social,Miranda Yaver,https://mastodon.social/@mirandayaver,American law; health policy; policy implementation
@stevebholt@sciences.social,Stephen B. Holt,https://sciences.social/@stevebholt,Bureaucracy; behavior; public administration
@timmodel@sciences.social,Tim Model,https://sciences.social/@timmodel,Comparative Politics; Political Economy; Authoritarianism; Corruption; Russian Politics
@michaelgreig@sciences.social,Michael Greig,https://sciences.social/@michaelgreig,International relations; conflict; conflict management; civil wars; interstate wars
